uid,class,orig_bytes,invel_pps,invel_bpp,duration,resp_bytes
C7mJzI2kJo1VmffDG6,normal,13816,0.027529692,84.08421053,15.69836584,983
CJrKEu4RfR7zmg3dQi,normal,3166,3.238560301,304.6363636,7.405672436,360
CYb3gW1urkRcXJlPx2,normal,121,0.591750116,40,17.45963996,83
CAVz574Y9CkN3oI9ua,normal,4219,11.50848636,82.9,9.380079808,95
CMx9zAm0LDEAmIR4a,normal,2684,16.64901871,82.9,20.88736621,1077
CY7EkI3uLHwQu4nvLk,normal,429,40.70066189,90.625,24.90486693,1259
CMc1Ey1lEnlL6QPGj,normal,429,48.69319634,90.625,14.3493944,414
CVMG6PW36jcwLdrXl,normal,429,68.73501791,90.625,14.22639626,91
C6N4ocM9SBNqpMEe8,normal,1909,78.92971309,90.625,19.97461707,520
CL4EZm10s2efTyA86d,normal,156,14.47576034,60,13.23429035,869
CGv8Bo3qhBGgVedoR2,normal,1640,90.2785092,805.1666667,7.439476364,884
C9E0cT3Q0UgmSlhqSc,normal,1435,90.66046146,317.5,3.130561989,1326
CRaJxoKGPy0qfzt11,normal,160,15.61767921,88,23.23736116,1161
CqqoKq47TpR9RFFK9e,normal,160,16.09917089,88,16.95386914,1026
CZPeh84I3rJBFIGGfa,normal,216,32.2669119,56,8.031429351,241
CVbKal1ws423emGVn1,normal,52,0.870695944,114.7777778,5.057613904,1254
C99lTG2kyg4VJyRR08,normal,52,0.191603604,44,11.22578215,308
Cg3FXj2VenrvW7V6Z9,normal,52,2380.952381,183,1.195043081,193
CUCmQgN7MDvVn8j0g,normal,52,0.417246074,227,8.454782292,1113
Cauz7uvPSNUJDgn58,normal,52,4.188476412,412.7,14.06722549,557
C11O6y2LttbAj173Qa,normal,52,2617.801047,224,12.22833696,898
CDpmay1X116O03iejh,normal,52,0.707594343,324.6666667,19.21073724,922
CTcxIl4Kg4fJNvlGBh,normal,52,0.948267279,207.1538462,13.77100004,1365
C3ZhXS3CmRhSUYGYBe,normal,52,0.192089689,60,14.80655214,618
C0x56A1O3KXRc8IL9i,normal,52,0.726873938,135.875,22.76285021,700
C1zHsL3Lm3CzJprVja,nss,9396,0.039653967,84.05714286,13.61330656,277
C1L5RX2XZUIr9qFBN,nss,1152,7.966762666,209.4166667,2.005227,681
CWNZ9r29XtwbFSBU6g,nss,1152,8.136073111,209.4166667,9.539456034,1310
CYZTx63CTJBg4hR3sh,nss,1152,8.176531311,209.4166667,9.673322639,790
CU6nSE3xHPFIWL4VXl,nss,1168,8.238097494,209.4166667,8.784927051,1042
CnW5LDnW6NOzIs6Ij,nss,1152,8.36213042,209.4166667,21.86717462,688
CVmu6p3hfN69QsLgDf,nss,1152,8.514786992,209.4166667,4.729622878,452
CwUFuU3vo4QrrtqpCg,nss,247,3.757375729,56.8,22.4589266,359
CjqXK22VsrUiaJcSt,nss,1891,15.03340422,186.7333333,7.127884463,994
CWGF6MkPdglUF6k2f,nss,2211,7.383958456,49.71428571,10.16688644,672
CyEu914B4Ya2WQkz2a,nss,383,8.267434987,104,16.12476098,1167
CGxFHZ32wpDMEdYvcl,nss,339,4.612854642,46,16.96996122,1329
CdZXtL1WKFUuwbLrVb,nss,353,16.49294102,55,23.27615626,1484
C5qQFq3NOMwO7oTj17,nss,321,20.6612424,55,21.05445228,252
CLjPpt2sUEfOcddop9,nss,353,21.08912687,55,14.12242146,849
C47VV21NXgSpfBlXai,nss,393,21.16008024,55,12.07376585,1106
CnfwVU1fpnku2NFCJg,nss,40,1972.386588,124,16.13480311,273
Ct68ON2RjHZQcSxCX7,nss,40,1.724731855,253.3636364,10.82946546,864
ChzExA3PFIRPBDX1Xd,nss,40,2.514050399,218.6428571,8.315616216,652
CElEHl3TtboCChHis4,nss,40,22.32441845,88,13.95249467,243
CjpPgV3C6ewtilddri,nss,40,39.75826972,191,24.67759733,678
CH1c4G2U55Uy0xGTVi,nss,28,25.55845218,88,15.84151788,151
CXoIS5HgNmukR7CKb,nss,28,0.12333834,343.4444444,7.920377336,104
CZOm8346X5XF1Wmvkl,nss,28,1,40,6.64005135,809
C5K7dl4JkRxYaFiJHa,nss,28,13.82100575,493.6923077,3.701758996,760
CenB4K3qGMIMOfa2Z7,qc,142,0.387946954,71,4.127419452,919
C539Vm3LFKW6ADqnpf,qc,144,0.892861527,72,13.43790532,645
CNE2Og4b4Wvd0LGnkk,qc,1152,9.947444336,209.4166667,1.780420254,1044
Cpl6jsfkZ9Bx5LhL6,qc,1152,10.0035179,209.4166667,2.775193657,399
C2hiz04QvGTLveFeJ7,qc,1152,12.40354948,209.4166667,5.728570386,1052
COMrPh2ZQi3DqH29e,qc,1152,12.44011897,209.4166667,4.637818483,1189
CDpFve39v9os4JUyo2,qc,1152,12.64702163,209.4166667,21.0279749,910
CbpW884yDSeX4mV8jh,qc,92,2.893526891,52,17.8680412,950
CskUE51TkPOYCpVmC3,qc,350,11.60311544,61.5,14.89399433,1061
C7S1cD1vgWP5c8mfLi,qc,350,12.03307893,61.5,14.72005,757
C7Au9C3dFWRlWO3uC8,qc,68,1154.734411,68,21.32750803,199
CMUJkh4rx4iu1V2641,qc,72,1782.531194,72,20.88516648,51
CvPnDK2R3JDj7Ttl5b,qc,61,1904.761905,56,23.73539452,1417
Ce2ERA47kkAnvcLJIi,qc,71,1968.503937,71,3.980450737,218
CkmzBv1murXz7JLWr1,qc,71,1984.126984,71,10.05982006,1378
CrzaEY1qIQpTStT47,qc,71,1992.031873,71,14.10556789,363
CkqlOX3E8vqbd7Bik4,qc,71,2024.291498,71,9.694935759,173
CoqBRVzHY9zqzGQ46,qc,72,2049.180328,72,19.18885621,1300
CRIBq32xQ5Vh29efY2,qc,72,2070.393375,72,18.91209943,810
CT0HIb1ajDk4zEf4uh,qc,62,2087.682672,62,2.981802978,611
CSoiiw2Qywmz8Pk6G1,qc,72,2262.443439,72,23.83144159,51
Cqwt0p1xWYfrtBdjd,qc,72,2288.329519,72,6.610687709,1072
C4LgJK1ZyiEc7ln788,qc,118,2364.066194,118,23.87485297,148
CevtWG2V92YMIHZ2Y4,qc,71,2463.054187,71,13.16155858,812
CocdDr2k25Cxl4Lkug,qc,40,1.072526988,186.8823529,3.258845111,786
CeGbJNXShcdxJM1q8,zt,1393,0.726128481,224.75,3.793165841,1276
CTpHih3SJMi0VUkHc1,zt,280,0.683811025,54.66666667,22.46121097,100
Cz7Eza3J9TscLjaPY2,zt,1088,1.587455293,196.8333333,15.60282524,59
CADpLfPclSmDNuOr6,zt,474,2.725940981,484.2,15.37251859,211
CP6ckU2cedADAYdSjl,zt,431,3.393028006,55,2.16923458,526
CUCFUG3El5VyOPa7Fj,zt,404,56.24170435,60,13.19276405,293
CzIogy39TFNEb2XeQ8,zt,402,60.51803437,59.6,21.52821435,227
CIzCzZ3jziJEq8sbul,zt,404,61.25799417,60,19.81297714,1498
CRSaBw26Z5yfgZKcF4,zt,402,61.87429618,59.6,15.98036486,479
CxYlkn2je7CMcEDSPd,zt,404,63.53078702,60,11.46349695,725
CfEDNo3nRzovQdVJg,zt,67,2207.505519,224,15.83993283,389
C8vetu1i3yPInP09nh,zt,62,2597.402597,62,19.51675589,460
CrRiDs4nzDQnCpKJj1,zt,860,0.192120178,48,3.024405582,1482
CyuKQ4xsNtJz5Zk9l,zt,53,3533.568905,138,6.756255893,1409
CAa5ub3KApkZHx3gT2,zt,44,3058.103976,224,19.85123676,391
C5QA8C2LhSewFPzHg7,zt,44,3584.229391,235,19.98712807,69
CZeE2U38QQlvrK4gF2,zt,44,9.816529072,92.875,21.64746677,405
