uid,class,alpha,beta,gamma
u001,qc,470,-592,104
u002,normal,-426,781,248
u003,normal,-126,293,-241
u004,nss,-462,-724,144
u005,zt,-429,-408,-208
u006,zt,-440,793,279
u007,normal,470,-443,296
u008,normal,90,299,106
u009,normal,499,-448,-253
u010,nss,-204,-42,-153
u011,normal,84,-269,273
u012,nss,-395,291,284
u013,nss,-119,-701,260
u014,normal,77,-778,-90
u015,zt,196,188,137
u016,qc,-24,299,164
u017,qc,-194,-392,-116
u018,nss,-417,276,7
u019,zt,396,-197,159
u020,qc,123,-751,-180
u021,zt,-332,650,50
u022,nss,455,101,131
u023,normal,485,468,-221
u024,qc,-152,523,58
u025,zt,93,732,167
u026,normal,360,-709,-24
u027,zt,213,460,-234
u028,normal,248,536,17
u029,zt,-209,567,95
u030,qc,-477,45,63
u031,nss,125,-661,205
u032,normal,-277,673,-6
u033,nss,256,-393,107
u034,zt,438,884,208
u035,normal,-330,19,111
u036,qc,404,-620,140
u037,qc,223,-50,67
u038,zt,480,-428,-146
u039,normal,-320,-591,-63
u040,nss,-488,93,-114
        ,normal,10,20,30
,qc,11,21,31
u043,,12,22,32
u044,   ,13,23,33
u045,nss,oops,24,34
u046,zt,"this-is-a-very-long-garbage-value-that-should-get-truncated",25,35
u047,normal,16,n/a,36
u048,qc,17,#REF!,37
u049,zt,18,28,NaN-ish
