uid,class,orig_bytes,invel_pps,invel_bpp
N000000,normal,-349.151,15.093,-171.025
N000001,normal,-134.311,-44.2,2.974
N000002,normal,-66.354,-43.014,-163.715
N000003,normal,326.852,-37.62,-110.704
N000004,nss,147.709,-22.29,-141.328
N000005,zt,-906.835,71.694,-168.313
N000006,normal,-382.208,-19.152,126.451
N000007,normal,81.6,13.891,-51.041
N000008,normal,-437.211,-44.04,-117.617
N000009,nss,-372.408,-48.585,-65.775
N000010,normal,-200.233,29.438,79.598
N000011,normal,74.424,2.52,150.055
N000012,qc,87.938,78.017,-52.774
N000013,normal,257.141,-34.802,-4.415
N000014,normal,168.216,26.457,29.21
N000015,zt,-372.505,39.059,75.496
N000016,nss,-343.795,3.997,77.872
N000017,normal,164.152,-43.933,80.597
N000018,nss,193.096,2.192,-186.162
N000019,normal,168.653,-47.744,-15.322
N000020,normal,-382.904,-44.105,107.293
N000021,normal,-252.385,-10.905,148.569
N000022,normal,-50.813,4.944,153.354
N000023,qc,663.984,7.842,66.119
N000024,normal,384.193,45.773,-139.632
N000025,normal,-268.043,-26.666,-6.015
N000026,nss,-537.253,-79.591,-132.421
N000027,normal,66.341,45.31,76.197
N000028,normal,117.593,17.62,-178.403
N000029,zt,559.939,74.903,238.298
N000030,normal,-101.021,-39.646,53.716
N000031,normal,-432.652,-29.124,-135.079
N000032,normal,-447.424,-49.977,-139.494
N000033,normal,-136.39,-47.45,149.733
N000034,nss,-651.45,-54.774,-161.044
N000035,normal,-377.158,34.894,197.241
N000036,normal,-16.165,-41.412,-159.125
N000037,normal,-235.243,32.886,-135.425
N000038,normal,450.986,2.826,-141.359
N000039,normal,-472.958,2.811,191.4
N000040,zt,392.394,-47.777,-106.64
N000041,normal,271.938,3.259,111.622
N000042,normal,-276.958,31.151,193.97
N000043,zt,612.157,63.667,191.898
N000044,normal,17.639,-14.444,-188.408
N000045,normal,-220.581,-24.083,77.009
N000046,zt,-105.545,87.404,390.43
N000047,zt,-270.728,-55.908,-218.523
N000048,normal,-295.627,12.407,160.123
N000049,qc,279.473,45.298,219.857
N000050,normal,160.586,40.978,112.921
N000051,qc,278.033,-2.148,215.654
N000052,normal,300.824,47.166,-41.665
N000053,normal,446.797,22.48,-131.999
N000054,normal,-348.849,40.485,122.601
N000055,normal,326.51,48.031,62.907
N000056,normal,48.66,-36.902,-194.303
N000057,zt,299.349,5.316,346.9
N000058,normal,371.743,32.616,-115.583
N000059,normal,-207.033,-25.946,34.575
N000060,normal,-80.987,-36.893,164.007
N000061,normal,-41.839,8.335,161.719
N000062,normal,417.721,0.165,12.73
N000063,normal,-481.295,-5.988,-126.757
N000064,normal,299.17,-32.765,-10.603
