uid,class,region,bytes_in,bytes_out,pkts,duration_s,jitter_ms,score
m001,nss,us-west,421219,155383,312,59.874,0.000402,-62.54
m002,qc,eu-central,447939,157815,658,34.622,0.000852,-70.73
m003,zt,ap-south,231495,67705,10,46.364,0.006586,-40.74
m004,normal,us-east,38481,19472,93,12.532,0.012735,-96.9
m005,nss,us-west,193291,97439,638,27.198,0.019183,-3.26
m006,qc,eu-central,301240,35582,888,23.172,0.012549,-37.84
m007,zt,ap-south,119738,214381,626,14.977,0.003804,47.88
m008,normal,us-east,493043,145209,202,41.222,0.00777,-3.5
m009,nss,us-west,41155,110482,49,6.239,0.000784,92.54
m010,qc,eu-central,124994,193941,722,23.503,0.008422,80.96
m011,zt,ap-south,257425,76922,533,10.534,0.01441,-86.24
m012,normal,us-east,119745,125645,573,39.214,0.012321,-85.17
m013,nss,us-west,111358,240480,209,44.942,0.001392,-17.71
m014,qc,eu-central,130581,15848,48,10.583,0.007382,14.43
m015,zt,ap-south,68985,24167,371,8.313,0.009012,-33.81
m016,normal,us-east,384253,181199,535,35.071,0.002816,-92.98
m017,nss,us-west,9381,124464,367,42.061,0.019256,-95.75
m018,qc,eu-central,333543,19617,494,4.046,0.006228,-72.68
m019,zt,ap-south,37975,19729,464,32.77,0.014743,80.04
m020,normal,us-east,386446,193239,721,7.781,0.019268,-31.68
m021,nss,us-west,44526,179606,485,54.051,0.017423,-16.57
m022,qc,eu-central,414466,7935,885,30.001,0.000301,32.45
m023,zt,ap-south,198797,152745,13,36.536,0.001613,27.88
m024,normal,us-east,134848,230632,427,43.695,0.007775,47.01
m025,nss,us-west,304586,119997,452,27.763,0.01083,3.74
m026,qc,eu-central,269762,7809,318,36.081,0.009624,-53.96
m027,zt,ap-south,366128,29592,510,46.799,0.013206,-2.74
m028,normal,us-east,469981,2964,377,18.069,0.013566,-59.49
m029,nss,us-west,88922,197596,351,39.603,0.008844,78.35
m030,qc,eu-central,171421,106104,682,15.043,0.012687,60.74
m031,zt,ap-south,395643,239657,206,52.817,0.007695,16.62
m032,normal,us-east,165930,55022,140,8.082,0.007021,79.13
m033,nss,us-west,21271,186441,66,57.001,0.005543,-66.17
m034,qc,eu-central,236270,123562,282,55.545,0.01662,-23.49
m035,zt,ap-south,272616,129466,689,18.929,0.016784,96.41
m036,normal,us-east,237228,83976,77,49.725,0.00557,21.51
m037,nss,us-west,355600,185763,288,34.239,0.006188,58.3
m038,qc,eu-central,10021,168030,140,24.317,0.003806,53.84
m039,zt,ap-south,139676,62235,798,8.461,0.000948,25.84
m040,normal,us-east,234084,28578,646,32.128,0.012802,-26.26
