uid,class,latency_ms,throughput_mbps
t001,nss,-23.81,107.59
t002,qc,212.11,-61.83
t003,zt,3.92,157.29
t004,normal,-157.67,21.44
t005,nss,64.94,527.36
t006,qc,-202.94,-353.88
t007,zt,-204.66,557.36
t008,normal,96.72,-824.62
t009,nss,241.1,836.56
t010,qc,76.96,208.01
t011,zt,-171.25,-873.0
t012,normal,14.19,-792.81
t013,nss,-154.9,-464.5
t014,qc,-234.96,-64.92
t015,zt,-29.73,616.37
t016,normal,9.56,252.53
t017,nss,-0.11,292.41
t018,qc,-21.34,-399.31
t019,zt,248.83,892.24
t020,normal,170.11,374.06
t021,nss,-92.36,-486.6
t022,qc,-105.48,-773.6
t023,zt,133.14,-179.28
t024,normal,173.29,-204.28
t025,nss,229.02,625.16
t026,qc,-249.73,-522.51
t027,zt,205.14,-54.02
t028,normal,240.18,-184.64
t029,nss,-213.48,233.02
t030,qc,139.26,-414.4
t031,zt,-206.43,-301.35
t032,normal,232.04,464.47
t033,nss,-191.0,-456.5
t034,qc,-199.48,-792.19
t035,zt,148.51,-580.18
t036,normal,29.65,-94.64
t037,nss,-154.66,417.41
t038,qc,-184.52,258.69
t039,zt,-191.75,-142.64
t040,normal,-143.57,-414.37
